,demographic,granular_audience,target_month,frame_id,datetimefrom,datetimeuntil,population,impacts,impacts_pedestrian,impacts_vehicular,rag_status
0,All Adults 15+ (1),All Adults (1),8,2000165726,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0006219176,0.0006219176,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234847537,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.003386148,0.0003073567,0.0030787913,red
0,All Adults 15+ (1),All Adults (1),8,2000095238,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0009870624,0.0002918082,0.0006952543,red
0,All Adults 15+ (1),All Adults (1),8,1234854040,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,9.87574e-05,5.05595e-05,4.81979e-05,red
0,All Adults 15+ (1),All Adults (1),8,2000167168,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0063506055,0.0063506055,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234931902,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0176137462,0.0014040028,0.0162097434,red
0,All Adults 15+ (1),All Adults (1),8,1234926104,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0011830105,0.0011830105,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234855832,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0028625101,0.0002274928,0.0026350173,red
0,All Adults 15+ (1),All Adults (1),8,2000113529,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0180711351,0.0180711351,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234931859,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0010378909,0.0010378909,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000134767,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0005378326,0.0005211599,1.66727e-05,red
0,All Adults 15+ (1),All Adults (1),8,1234925733,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0034212106,0.0034212106,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234858422,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0027988516,0.0001427421,0.0026561095,red
0,All Adults 15+ (1),All Adults (1),8,1235193291,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1235238337,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0428242182,0.0012396129,0.0415846052,red
0,All Adults 15+ (1),All Adults (1),8,1234930597,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0021720382,0.0004224585,0.0017495797,red
0,All Adults 15+ (1),All Adults (1),8,2000214755,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,9.14894e-05,4.1169e-06,8.73725e-05,red
0,All Adults 15+ (1),All Adults (1),8,1234852676,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0009532961,0.0002818888,0.0006714072,red
0,All Adults 15+ (1),All Adults (1),8,1234858889,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0010640096,0.0010640096,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000214641,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.000595054,0.000218283,0.000376771,red
